Site,Species,ID,Number,FL,TL,Wt,Month,Location,Notes
CR6,Creek Chub,,1,180,191,55.2,October,Creek,
CR6,Creek Chub,CR6-O23-CC-1,1,112,121,12.2,October,Creek,
CR6,Creek Chub,CR6-O23-CC-2,1,127,136,20,October,Creek,
CR6,Creek Chub,CR6-O23-CC-3,1,165,174,32.8,October,Creek,
CR6,Creek Chub,CR6-O23-CC-4,1,123,131,19.6,October,Creek,
CR6,Creek Chub,CR6-O23-CC-5,1,158,167,42,October,Creek,
CR6,Creek Chub,,1,132,136,,October,Creek,
CR6,Creek Chub,,1,125,131,19,October,Creek,
CR6,Creek Chub,,1,135,143,20.9,October,Creek,
CR6,Creek Chub,,1,95,101,6.1,October,Creek,
CR6,Creek Chub,,1,145,154,29.3,October,Creek,
CR6,Creek Chub,,5,120,125,85.9,October,Creek,
CR6,Creek Chub,,5,121,129,81.3,October,Creek,
CR6,Creek Chub,,5,120,128,90.9,October,Creek,
CR6,Creek Chub,,1,133,141,24.5,October,Creek,
CR6,Creek Chub,,1,135,144,25.5,October,Creek,
CR6,Creek Chub,,1,146,155,31.3,October,Creek,
CR6,Creek Chub,,1,135,145,25.6,October,Creek,
CR6,Creek Chub,,4,108,116,44.5,October,Creek,
CR6,Creek Chub,,3,110,118,35.2,October,Creek,
CR6,Creek Chub,,1,82,91,5.2,October,Creek,
CR7,Creek Chub,,1,141,151,27.2,October,Creek,
CR7,Creek Chub,,1,121,131,20,October,Creek,
CR7,Creek Chub,,1,129,138,23.1,October,Creek,
CR7,Creek Chub,,1,107,114,13.4,October,Creek,
CR7,Creek Chub,,1,100,109,9.4,October,Creek,
CR8,Creek Chub,,1,131,140,26.1,October,Creek,
CR8,Creek Chub,,1,105,111,11.8,October,Creek,
CR8,Creek Chub,,1,63,67,2.1,October,Creek,
CR8,Creek Chub,,1,65,70,2.9,October,Creek,
CR8,Creek Chub,,1,101,111,12.1,October,Creek,
CR8,Creek Chub,,1,76,81,4.1,October,Creek,
CR8,Creek Chub,,1,70,77,3.6,October,Creek,
CR8,Creek Chub,,1,80,85,4.5,October,Creek,
CR9,Creek Chub,,1,86,91,5.9,October,Creek,
LK2,Creek Chub,,1,170,179,47.4,October,Lake,
LK3,Creek Chub,,1,132,140,27.9,October,Lake,
LK3,Creek Chub,,1,159,169,40.6,October,Lake,
LK3,Creek Chub,,1,112,119,15.2,October,Lake,
LK4,Creek Chub,LK4-O23-CC-4,1,140,149,24.7,October,Lake,
LK4,Creek Chub,LK4-O23-CC-5,1,120,128,16.7,October,Lake,
LK4,Creek Chub,,1,150,159,37.7,October,Lake,
LK4,Creek Chub,,1,130,138,17.5,October,Lake,
LK4,Creek Chub,,1,95,101,7.4,October,Lake,
LK4,Creek Chub,,1,83,89,4.7,October,Lake,
LK5,Creek Chub,LK5-O23-CC-1,1,168,179,62.6,October,Lake,
LK5,Creek Chub,LK5-O23-CC-2,1,165,177,40.6,October,Lake,
LK5,Creek Chub,LK5-O23-CC-3,1,185,195,64,October,Lake,
CR1,Golden Shiner,,1,121,133,24.7,October,Creek,
CR1,Golden Shiner,,1,100,110,10,October,Creek,
CR1,Golden Shiner,,1,97,107,9.6,October,Creek,
CR2,Golden Shiner,,1,102,114,10.3,October,Creek,
CR2,Golden Shiner,,1,98,103,9.3,October,Creek,
CR2,Golden Shiner,,1,97,109,9.6,October,Creek,
CR3,Golden Shiner,,1,85,95,7,October,Creek,
CR5,Golden Shiner,,1,115,125,15.9,October,Creek,
CR6,Golden Shiner,,1,115,125,10,October,Creek,
LK1,Golden Shiner,LK2-O23-GS-7,1,140,155,30.6,October,Lake,
LK2,Golden Shiner,LK2-O23-GS-3,1,127,141,22.3,October,Lake,
LK2,Golden Shiner,LK2-O23-GS-4,1,132,145,27.1,October,Lake,
LK2,Golden Shiner,LK2-O23-GS-5,1,115,127,17.6,October,Lake,
LK2,Golden Shiner,,1,125,137,17.8,October,Lake,
LK2,Golden Shiner,LK2-O23-GS-6,1,127,141,23.6,October,Lake,
LK2,Golden Shiner,,1,100,110,11.7,October,Lake,
LK4,Golden Shiner,LK4-O23-GS-1,1,140,154,34.4,October,Lake,practiced tagging
LK4,Golden Shiner,LK4-O23-GS-2,1,110,124,15.5,October,Lake,
LK9,Golden Shiner,,1,130,142,22.72,October,Lake,
CR1,Pumpkinseed,,1,95,102,16.8,October,Creek,
CR1,Pumpkinseed,,1,53,57,3.5,October,Creek,
CR1,Pumpkinseed,,1,57,60,3.3,October,Creek,
CR2,Pumpkinseed,,1,95,100,18.2,October,Creek,
CR2,Pumpkinseed,,1,72,76,7.1,October,Creek,
CR2,Pumpkinseed,,1,53,57,2.6,October,Creek,
CR2,Pumpkinseed,,1,90,94,13.3,October,Creek,
CR2,Pumpkinseed,,1,82,87,11,October,Creek,
CR2,Pumpkinseed,,1,65,69,5.6,October,Creek,
CR2,Pumpkinseed,,1,58,61,4,October,Creek,
CR2,Pumpkinseed,,1,55,58,3.1,October,Creek,
CR5,Pumpkinseed,,1,58,62,3.6,October,Creek,
CR5,Pumpkinseed,,1,70,74,4.6,October,Creek,
CR6,Pumpkinseed,,1,160,163,4,October,Creek,
CR6,Pumpkinseed,,1,55,59,3.4,October,Creek,
CR6,Pumpkinseed,,1,83,88,11.4,October,Creek,
CR6,Pumpkinseed,,1,85,90,12.4,October,Creek,
LK10,Pumpkinseed,,1,109,116,24.9,October,Lake,
LK10,Pumpkinseed,,1,83,87,9.9,October,Lake,
LK10,Pumpkinseed,,1,98,104,14.8,October,Lake,
LK10,Pumpkinseed,,1,100,105,17.5,October,Lake,
LK10,Pumpkinseed,,1,90,95,14.1,October,Lake,
LK10,Pumpkinseed,,1,94,99,18.9,October,Lake,
LK10,Pumpkinseed,,1,99,106,20,October,Lake,
LK10,Pumpkinseed,,1,96,101,17.6,October,Lake,
LK10,Pumpkinseed,,3,80,85,32.9,October,Lake,
LK10,Pumpkinseed,,5,99,105,84.5,October,Lake,
LK10,Pumpkinseed,,1,101,107,18.6,October,Lake,
LK10,Pumpkinseed,,3,85,89,34,October,Lake,
LK10,Pumpkinseed,,1,103,109,21.9,October,Lake,
LK10,Pumpkinseed,,1,97,102,18.2,October,Lake,
LK10,Pumpkinseed,,4,83,88,38.2,October,Lake,
LK10,Pumpkinseed,,5,67,71,21.6,October,Lake,
LK10,Pumpkinseed,,1,72,75,7.5,October,Lake,
LK3,Pumpkinseed,,1,81,85,10,October,Lake,
LK3,Pumpkinseed,,1,60,63,3.8,October,Lake,
LK3,Pumpkinseed,,1,77,81,8.7,October,Lake,
LK3,Pumpkinseed,,1,60,64,3.4,October,Lake,
LK4,Pumpkinseed,,1,96,102,17.9,October,Lake,
LK4,Pumpkinseed,,1,95,101,16.7,October,Lake,
LK4,Pumpkinseed,,1,80,85,9.6,October,Lake,
LK4,Pumpkinseed,,1,62,66,3.2,October,Lake,
LK4,Pumpkinseed,,1,58,62,4.8,October,Lake,
LK6,Pumpkinseed,,1,63,67,3.3,October,Lake,
LK6,Pumpkinseed,,1,57,60,2.4,October,Lake,
LK7,Pumpkinseed,,1,53,56,2.3,October,Lake,
LK8,Pumpkinseed,,10,102,108,184.6,October,Lake,
LK8,Pumpkinseed,,9,86,92,93.9,October,Lake,
LK8,Pumpkinseed,,6,65,68,37,October,Lake,
LK8,Pumpkinseed,,1,59,62,3.9,October,Lake,
LK8,Pumpkinseed,,1,53,56,2.7,October,Lake,
CR5,White Sucker,,1,205,219,94.3,October,Creek,
CR5,White Sucker,,1,145,156,33.6,October,Creek,
CR5,White Sucker,,1,198,210,86.9,October,Creek,
CR5,White Sucker,,1,144,153,30.8,October,Creek,
CR5,White Sucker,,1,140,149,34.2,October,Creek,
CR1,Yellow Perch,,1,86,90,5.9,October,Creek,
CR2,Yellow Perch,,1,93,97,8.7,October,Creek,
CR3,Yellow Perch,,1,116,122,15.2,October,Creek,
CR3,Yellow Perch,,1,100,105,10.8,October,Creek,
CR4,Yellow Perch,CR4-O23-YP-1,1,100,105,8.7,October,Creek,
CR4,Yellow Perch,,1,97,108,11.5,October,Creek,
CR4,Yellow Perch,,1,110,116,13.6,October,Creek,
CR4,Yellow Perch,,1,110,115,12.1,October,Creek,
CR5,Yellow Perch,CR5-O23-YP-2,1,116,121,19,October,Creek,
CR5,Yellow Perch,CR5-O23-YP-3,1,125,131,18.9,October,Creek,
CR5,Yellow Perch,CR5-O23-YP-4,1,115,120,14.7,October,Creek,
CR5,Yellow Perch,CR5-O23-YP-5,1,125,130,16.8,October,Creek,
CR5,Yellow Perch,,1,95,100,11.1,October,Creek,
CR5,Yellow Perch,,1,123,128,19.2,October,Creek,
CR5,Yellow Perch,,1,95,101,9.3,October,Creek,
LK10,Yellow Perch,,1,115,121,16,October,Lake,
LK10,Yellow Perch,,1,101,106,11.5,October,Lake,
LK10,Yellow Perch,,1,133,139,24.7,October,Lake,
LK10,Yellow Perch,,1,94,98,9,October,Lake,
LK10,Yellow Perch,,1,87,92,7.8,October,Lake,
LK10,Yellow Perch,,1,119,125,16.6,October,Lake,
LK10,Yellow Perch,,1,111,116,13.6,October,Lake,
LK10,Yellow Perch,,1,99,105,9.7,October,Lake,
LK10,Yellow Perch,,1,95,100,9.1,October,Lake,
LK10,Yellow Perch,,1,65,68,2.2,October,Lake,
LK10,Yellow Perch,,1,73,76,3.7,October,Lake,
LK10 ,Yellow Perch,,1,110,116,15.9,October,Lake,
LK3,Yellow Perch,,1,120,131,17.8,October,Lake,
LK5,Yellow Perch,,1,100,104,15.2,October,Lake,
LK5,Yellow Perch,,1,95,100,9,October,Lake,
LK5,Yellow Perch,,1,71,76,3.2,October,Lake,
LK5,Yellow Perch,,1,94,98,8,October,Lake,
LK6,Yellow Perch,,1,100,106,10.6,October,Lake,
LK6,Yellow Perch,,1,100,105,9.5,October,Lake,
LK6,Yellow Perch,,1,112,117,12.4,October,Lake,
LK6,Yellow Perch,,1,96,102,12.5,October,Lake,
LK6,Yellow Perch,,1,93,97,8.9,October,Lake,
LK6,Yellow Perch,,5,68,72,16.4,October,Lake,
LK8,Yellow Perch,,1,113,118,14.1,October,Lake,
LK8,Yellow Perch,,1,109,115,9.9,October,Lake,
LK8,Yellow Perch,,1,105,110,11.2,October,Lake,
LK8,Yellow Perch,,1,92,96,6.2,October,Lake,
LK8,Yellow Perch,,4,85,88,24.4,October,Lake,
LK8,Yellow Perch,,1,70,74,2.7,October,Lake,
CR10,,,,,,,October,Creek,Completely empty trap 
